ts_code,trade_date,close,Open,high,low,price_avg,change,pct_change,vol,amount
Au99.95,20221230,409.93,408.8,410.2,408.8,409.93,1.28,31.32,32,13118000
Au99.95,20221229,408.65,408.6,409,408.35,408.73,-0.21,-5.14,62,25341500
Au99.95,20221228,408.86,410.8,410.8,408.85,409.27,1.5,36.82,78,31923100
Au99.95,20221227,407.36,407.3,407.5,407.3,407.33,0.33,8.11,78,31771800
Au99.95,20221226,407.03,407,407.08,407,407.02,0.61,15.01,172,69961920
Au99.95,20221223,406.42,410.3,410.3,406.3,406.47,-3.78,-92.15,80,32518000
Au99.95,20221222,410.2,409.3,410.5,310.15,407.94,0.45,10.98,88,35898900
Au99.95,20221221,409.75,408,410,408,409.38,3.94,97.09,70,28657200
Au99.95,20221220,405.81,404.6,407.5,404.6,405.08,0.3,7.4,188,75350520
Au99.95,20221219,405.51,404.6,406.2,404.6,405.68,2.8,69.53,186,75514900
Au99.95,20221216,402.71,402,402.8,402,402.53,-1.8,-44.5,150,60380760
Au99.95,20221215,404.51,406.5,406.5,404.3,405.18,-5.48,-133.66,234,95154800
Au99.95,20221214,409.99,405.8,410,405.8,407.78,6.49,160.84,94,38331760
Au99.95,20221213,403.5,404.2,404.2,403.03,403.47,0,0,268,108206320
Au99.95,20221212,403.5,404.35,404.45,403.5,403.99,-0.67,-16.58,288,115629020
Au99.95,20221209,404.17,403.5,404.4,403.3,403.68,1.69,41.99,452,175112640
Au99.95,20221208,402.48,402.6,402.6,402.3,402.44,1.22,30.4,60,24146600
Au99.95,20221207,401.26,401.5,401.5,401,401.25,-0.44,-10.95,182,73311800
Au99.95,20221206,401.7,401.7,402,401.6,401.67,-4.33,-106.64,116,46594800
Au99.95,20221205,406.03,407.8,407.8,406,406.67,-3.39,-82.8,210,84269000
Au99.95,20221202,409.42,409.2,409.5,409,409.26,1.63,39.97,208,84386100
Au99.95,20221201,407.79,405.8,409.99,405.6,406.68,2.11,52.01,100,40668720
Au99.95,20221130,405.68,406.3,406.3,405.35,405.57,-0.62,-15.26,184,74626000
Au99.95,20221129,406.3,408,408,405.8,406.36,-1.12,-27.49,178,72333680
Au99.95,20221128,407.42,408.5,408.5,407.25,407.73,1.16,28.55,64,26095200
Au99.95,20221125,406.26,407.5,407.5,400.01,406.75,-0.21,-5.17,270,109303340
Au99.95,20221124,406.47,405.7,406.5,405.7,406.07,2.06,50.94,22,8933740
Au99.95,20221123,404.41,404.1,404.5,404,404.3,-0.58,-14.32,40,16172200
Au99.95,20221122,404.99,404.5,405,404.5,404.64,0.4,9.89,44,17804160
Au99.95,20221121,404.59,404,405.6,404,404.59,-2.38,-58.48,242,90538760
Au99.95,20221118,406.97,407,407.5,406.9,407.06,-0.04,-0.98,186,74345600
Au99.95,20221117,407.01,407.15,407.15,406.7,407.01,0.47,11.56,20,8140300
Au99.95,20221116,406.54,405.5,406.7,405.5,406.32,1.52,37.53,226,91830000
Au99.95,20221115,405.02,403.6,405.5,403.6,404.88,2.01,49.87,26,10526900
Au99.95,20221114,403.01,404,404,402.8,403.01,-5.41,-132.46,134,52427600
Au99.95,20221111,408.42,408.6,409,407.4,408.7,4.48,110.91,80,32696600
Au99.95,20221110,403.94,403,404.1,403,403.83,0.67,16.61,70,28268400
Au99.95,20221109,403.27,402,403.35,402,403.08,8.27,209.37,60,24184900
Au99.95,20221108,395,395,395.4,394.5,395.11,1.64,41.69,360,142239600
Au99.95,20221107,393.36,394.5,394.5,393,393.74,1.99,50.85,166,64547200
Au99.95,20221104,391.37,391.4,391.45,391,391.27,-0.06,-1.53,98,38345000
Au99.95,20221103,391.43,393.5,393.5,391.4,391.68,-1.55,-39.44,120,47001800
Au99.95,20221102,392.98,392.6,392.99,392.35,392.56,1.37,34.98,98,38471560
Au99.95,20221101,391.61,392,392.2,391.2,391.91,0.52,13.3,160,62706600
Au99.95,20221031,391.09,391.7,391.7,391,391.21,-1.57,-39.98,158,61875600
Au99.95,20221028,392.66,393.5,393.7,392.6,393.2,-0.42,-10.68,216,84931200
Au99.95,20221027,393.08,392.6,393.4,392.6,392.95,-1.27,-32.2,64,25148940
Au99.95,20221026,394.35,394,394.5,393.65,394.27,0.54,13.71,82,32330920
Au99.95,20221025,393.81,393,394.15,393,393.92,1.07,27.24,92,36240800
Au99.95,20221024,392.74,390.5,392.8,390.5,392.46,4.72,121.64,184,72185900
Au99.95,20221021,388.02,388.2,388.7,387.75,388.2,-0.51,-13.13,128,49689700
Au99.95,20221020,388.53,388.2,389,388.2,388.39,-2.04,-52.23,234,90884860
Au99.95,20221019,390.57,390.9,391.5,390.05,390.95,-0.66,-16.87,630,238540180
Au99.95,20221018,391.23,390.5,391.5,390.5,390.63,0.48,12.28,286,111732660
Au99.95,20221017,390.75,390.9,390.9,390,390.35,-1.37,-34.94,290,113202920
Au99.95,20221014,392.12,391.5,392.4,391.5,391.92,-0.38,-9.68,108,42328200
Au99.95,20221013,392.5,392.9,392.9,392.5,392.59,0.05,1.27,240,92570320
Au99.95,20221012,392.45,392,392.5,391.5,392.21,0.45,11.48,134,52502380
Au99.95,20221011,392,392,392,392,392,-0.5,-12.74,86,33488000
Au99.95,20221010,392.5,395,395,392.5,393.79,2.89,74.18,184,72459000
Au99.95,20220930,389.61,388.8,389.8,388.8,389.64,0.74,19.03,126,49095700
Au99.95,20220929,388.87,388,389.5,388,388.94,2.5,64.7,270,105016100
Au99.95,20220928,386.37,385.2,386.5,385.15,385.86,1.14,29.59,284,109584560
Au99.95,20220927,385.23,384,385.3,383.8,384.62,0.72,18.73,110,42308900
Au99.95,20220926,384.51,385,385,384,384.49,-2.95,-76.14,204,78447500
Au99.95,20220923,387.46,386.8,387.55,386.8,387.46,1.86,48.24,26,10074200
Au99.95,20220922,385.6,385.5,385.65,385.5,385.6,0.34,8.83,18,6940800
Au99.95,20220921,385.26,384.98,385.5,384.98,385.15,-0.86,-22.27,30,11554760
Au99.95,20220920,386.12,386.15,386.15,386,386.12,1.32,34.3,386,143793520
Au99.95,20220919,384.8,384.8,384.8,384.8,384.8,1.1,28.67,22,8465600
Au99.95,20220916,383.7,386,386,383.6,383.86,-2.33,-60.36,38,14587000
Au99.95,20220915,386.03,387.2,387.2,385.85,386.11,-0.87,-22.49,48,18533300
Au99.95,20220914,386.9,386.8,386.9,386.8,386.87,-2.5,-64.2,102,39461400
Au99.95,20220913,389.4,389.3,389.8,389.15,389.34,0.27,6.94,84,32705200
Au99.95,20220909,389.13,388.8,389.5,388.75,389.08,0.83,21.38,98,38130600
Au99.95,20220908,388.3,387.4,389,387.4,388.3,1.92,49.69,40,15532200
Au99.95,20220907,386.38,387.3,387.3,385.8,386.3,-2.15,-55.34,74,28586400
Au99.95,20220906,388.53,388.1,388.6,388.1,388.38,2.03,52.52,734,284961700
Au99.95,20220905,386.5,387,387,386.01,386.5,3.38,88.22,4,1546020
Au99.95,20220901,383.12,383.12,383.12,383.12,383.12,-2.88,-74.61,2,766240
Au99.95,20220831,386,386,386,386,386,-2.98,-76.61,2,772000
Au99.95,20220830,388.98,388,390,388,389.12,1.42,36.64,60,23347600
Au99.95,20220829,387.56,387.4,387.7,387.1,387.31,-1.94,-49.81,112,43379200
Au99.95,20220826,389.5,389.5,389.5,389.5,389.5,-0.08,-2.05,10,3895000
Au99.95,20220825,389.58,389,389.7,389,389.25,1.56,40.2,52,20241400
Au99.95,20220824,388.02,388.02,388.02,388.02,388.02,1.08,27.91,402,153988040
Au99.95,20220823,386.94,384.4,387,384.4,386.85,3.17,82.6,314,121472800
Au99.95,20220822,383.77,386,386,383.31,385.47,-1.95,-50.55,834,321874420
Au99.95,20220819,385.72,386.3,386.55,384.01,386.13,1.52,39.56,66,25484620
Au99.95,20220818,384.2,387,387.2,381.8,386.89,-5.03,-1.29,952,366515400
Au99.95,20220817,389.23,389.5,389.5,389,389.36,5.07,1.32,124,48281000
Au99.95,20220816,384.16,390.4,390.6,380,390.06,-6.67,-1.71,544,212306020
Au99.95,20220815,390.83,390,391.02,390,390.71,1.13,0.29,1214,473470040
Au99.95,20220811,389.1,389.1,389.1,389.1,389.1,-1.62,-0.41,24,9338400
Au99.95,20220810,390.72,391.2,391.3,390.3,390.76,0.95,0.24,156,60959000
Au99.95,20220809,389.77,389.5,389.8,389.42,389.61,2.27,0.59,80,31169140
Au99.95,20220808,387.5,381.99,387.5,381.99,387.32,-2.34,-0.6,148,57324180
Au99.95,20220805,389.84,390,390,389.8,389.84,8.2,2.15,98,38204400
Au99.95,20220804,381.64,368.59,386,368.59,381.64,-3.82,-0.99,8,3053160
Au99.95,20220803,385.46,384.6,385.75,384.6,385.46,-2.36,-0.61,8,3083700
Au99.95,20220802,387.82,387,388,387,387.82,2.84,0.74,16,6205200
Au99.95,20220801,384.98,384.23,385.2,384.23,384.83,2.23,0.58,170,66601400
Au99.95,20220729,382.75,381.8,385,381.8,382.75,3.68,0.97,18,6889600
Au99.95,20220728,379.07,376.5,379.95,376.5,378.91,3.74,1,40,15156600
Au99.95,20220727,375.33,376,376,375,375.33,-0.57,-0.15,6,2252000
Au99.95,20220726,375.9,375.8,376,375.8,375.9,-0.48,-0.13,24,9021600
Au99.95,20220725,376.38,376.3,376.5,376.25,376.32,1.44,0.38,150,58450700
Au99.95,20220722,374.94,370,374.95,370,374.31,5.64,1.53,126,47163600
Au99.95,20220721,369.3,373.5,373.5,369.3,369.89,-3.76,-1.01,270,101242960
Au99.95,20220720,373.06,373.05,373.1,372,373,0.88,0.24,656,244218200
Au99.95,20220719,372.18,372.1,372.3,372.1,372.18,-1.25,-0.33,20,7443600
Au99.95,20220718,373.43,372.02,373.8,372.02,373.4,1.41,0.38,222,83912240
Au99.95,20220715,372.02,372.85,372.85,371.9,372.53,-5.98,-1.58,38,14156300
Au99.95,20220714,378,378,378,378,378,3.06,0.82,22,8316000
Au99.95,20220713,374.94,375,375,374.7,374.94,-0.29,-0.08,244,91498800
Au99.95,20220712,375.23,375,376.4,375,375.12,-1.37,-0.36,220,82528000
Au99.95,20220711,376.6,376.6,376.6,376.6,376.6,0.29,0.08,108,42338800
Au99.95,20220708,376.31,376.31,376.31,376.31,376.31,0.21,0.06,2,752620
Au99.95,20220707,376.1,376.1,376.1,376.1,376.1,-6.15,-1.61,2,752200
Au99.95,20220706,382.25,383.55,383.55,381.8,382.44,-7.98,-2.04,52,19887300
Au99.95,20220705,390.23,390.15,390.3,390.15,390.21,-0.2,-0.05,20,7804200
Au99.95,20220704,390.43,390,390.6,390,390.12,-2.37,-0.6,446,174851020
Au99.95,20220701,392.8,392.8,392.8,392.8,392.8,1.1,0.28,6,2356800
Au99.95,20220630,391.7,391.7,391.7,391.7,391.7,-0.97,-0.25,2,783400
Au99.95,20220629,392.67,393.5,393.5,392.5,393.07,-1.33,-0.34,62,24370700
Au99.95,20220628,394,394,394,394,394,-0.88,-0.22,12,4728000
Au99.95,20220627,394.88,394.8,396.6,394.61,394.98,1.54,0.39,50,19749140
Au99.95,20220624,393.34,393.4,393.4,393.2,393.34,-2.79,-0.7,42,16520400
Au99.95,20220623,396.13,397,398,396.05,396.36,-0.45,-0.11,280,107477760
Au99.95,20220622,396.58,396,396.8,396,396.58,0.58,0.15,10,3965800
Au99.95,20220621,396,396,396,396,396,-0.5,-0.13,12,4752000
Au99.95,20220620,396.5,396.5,396.5,396.5,396.5,-1.32,-0.33,32,12688000
Au99.95,20220617,397.82,397.7,397.85,397.7,397.82,2.65,0.67,14,5569600
Au99.95,20220616,395.17,395.15,395.4,394.5,395.17,1.79,0.46,10,3951700
Au99.95,20220615,393.38,393.4,393.4,393.3,393.38,-2.76,-0.7,36,14161800
Au99.95,20220614,396.14,396.7,396.7,396,396.23,-7.85,-1.94,36,14264400
Au99.95,20220613,403.99,399.3,404.3,399.3,403.58,6.99,1.76,46,18564900
Au99.95,20220610,397,397,397,397,397,-2.06,-0.52,2,794000
Au99.95,20220609,399.06,398.5,399.26,398.5,399.18,1.98,0.5,242,96603800
Au99.95,20220608,397.08,397.1,397.3,397,397.09,1.5,0.38,44,17472200
Au99.95,20220607,395.58,395.55,395.6,395.55,395.58,-1.7,-0.43,8,3164700
Au99.95,20220606,397.28,397.25,397.3,397.25,397.28,-0.78,-0.2,66,26469500
Au99.95,20220602,398.06,394.85,398.2,394.85,397.72,2.92,0.74,38,15113500
Au99.95,20220601,395.14,396,396,394.74,395.04,-2.87,-0.72,104,41084420
Au99.95,20220531,398.01,397.7,398.7,397.7,397.99,-1.54,-0.39,40,15919620
Au99.95,20220530,399.55,399.5,399.65,399.4,399.55,-2.51,-0.62,118,47405400
Au99.95,20220527,402.06,401.5,402.2,401.5,401.99,1.88,0.47,208,83615800
Au99.95,20220526,400.18,399.4,400.5,399.4,400.17,0.66,0.17,116,46419800
Au99.95,20220525,399.52,399.2,399.9,399.2,399.52,-0.09,-0.02,130,51937800
Au99.95,20220524,399.61,397.05,400.99,397.05,397.76,1.92,0.48,58,23070260
Au99.95,20220523,397.69,398,398.95,397.5,397.79,0.16,0.04,228,91069200
Au99.95,20220520,397.53,398,398,397.5,397.53,2.22,0.56,44,17491600
Au99.95,20220519,395.31,395.3,395.6,394.95,395.29,1.54,0.39,82,32414100
Au99.95,20220518,393.77,393.6,394.1,393.3,393.71,-4.16,-1.05,70,27560200
Au99.95,20220517,397.93,396,398,396,397.64,2.63,0.67,28,11134000
Au99.95,20220516,395.3,396.3,396.3,395,395.58,-4.1,-1.03,30,11867400
Au99.95,20220513,399.4,399.4,399.4,399.4,399.4,-3.24,-0.8,6,2396400
Au99.95,20220512,402.64,402.6,402.7,402.6,402.62,4.99,1.25,280,112734800
Au99.95,20220511,397.65,402.2,402.2,397.5,397.76,-4.65,-1.16,162,64437300
Au99.95,20220510,402.3,402.3,402.3,402.3,402.3,-2.25,-0.56,6,2413800
Au99.95,20220509,404.55,404.7,404.7,404.25,404.55,1.9,0.47,14,5663700
Au99.95,20220506,402.65,402.5,402.8,402.5,402.65,-0.82,-0.2,4,1610600
Au99.95,20220505,403.47,404,404,403,403.53,-1.63,-0.4,132,53141720
Au99.95,20220429,405.1,404,406,404,405.09,4.83,1.21,72,29166600
Au99.95,20220428,400.27,397.6,400.3,397.6,399.2,-0.33,-0.08,54,21557000
Au99.95,20220427,400.6,400.6,400.6,400.6,400.6,0.23,0.06,2,801200
Au99.95,20220426,400.37,400.25,400.4,399.8,400.1,-3.16,-0.78,112,44811360
Au99.95,20220425,403.53,403,404.5,403,404.15,-1.07,-0.26,248,100043360
Au99.95,20220422,404.6,404.6,404.6,404.6,404.6,1.8,0.45,6,2427600
Au99.95,20220421,402.8,402.8,402.8,402.8,402.8,3.47,0.87,2,805600
Au99.95,20220420,399.33,400,400.2,399.2,399.81,-4.66,-1.15,58,23189000
Au99.95,20220419,403.99,403.9,404.9,403.8,404.17,-2.24,-0.55,72,29100700
Au99.95,20220418,406.23,406.3,406.6,405.9,406.23,1.88,0.46,116,44899800
Au99.95,20220415,404.35,404.35,404.35,404.35,404.35,0.93,0.23,2,808700
Au99.95,20220414,403.42,404,404,403.2,403.46,1,0.25,28,11297000
Au99.95,20220413,402.42,402.85,402.85,402,402.49,2.42,0.61,12,4829900
Au99.95,20220412,400,400,400,400,400,1.84,0.46,2,800000
Au99.95,20220411,398.16,396.8,398.5,396.8,397.31,3,0.76,132,51064000
Au99.95,20220408,395.16,395.3,395.75,395,395.16,1.49,0.38,20,7903300
Au99.95,20220407,393.67,393.5,394,393.5,393.56,0.01,0,98,38569180
Au99.95,20220406,393.66,394.4,394.4,393.1,394.2,-1.45,-0.37,198,76932000
Au99.95,20220401,395.11,394.2,396.2,394.2,395.61,1.87,0.48,308,121848200
Au99.95,20220331,393.24,394.3,394.3,393.2,393.66,1.24,0.32,126,48485240
Au99.95,20220330,392,392,392,392,392,-2.7,-0.68,16,6272000
Au99.95,20220329,394.7,394.9,394.9,394.3,394.71,-1.84,-0.46,26,10262600
Au99.95,20220328,396.54,399.5,399.5,396,396.76,-5.06,-1.26,26,10316000
Au99.95,20220325,401.6,401.6,401.6,401.6,401.6,2.27,0.57,4,1606400
Au99.95,20220324,399.33,399.5,399.5,398.2,399.33,5.53,1.4,96,37469400
Au99.95,20220323,393.8,393.8,393.8,393.8,393.8,-1.68,-0.42,2,787600
Au99.95,20220322,395.48,394.11,396,394.11,395.48,1.37,0.35,10,3954820
Au99.95,20220321,394.11,394.4,395.5,394,394.3,-0.81,-0.21,114,44950300
Au99.95,20220318,394.92,396,397,390,395.11,1.17,0.3,22,8692620
Au99.95,20220317,393.75,393.5,394,393.5,393.75,4.45,1.14,20,7875000
Au99.95,20220316,389.3,389.3,389.3,389.3,389.3,-3.44,-0.88,2,778600
Au99.95,20220315,392.74,391.49,394,391.49,392.74,-9.02,-2.25,4,1570980
Au99.95,20220314,401.76,402.45,402.45,401.5,401.76,-1.54,-0.38,208,79688300
Au99.95,20220311,403.3,403.2,403.3,403.2,403.29,0.64,0.16,24,9679000
